title,company,location,salary_min,salary_max,posting_date,description,category,contract_type
QC Analyst,Smart4Sciences,Dartford,,,27/03/2026,"Smart4Sciences is supporting a leading organisation in recruiting a QC Scientist 1 to join their Quality Control team in Dartford. This onsite involves hands-on analytical testing to support product release, stability studies, and in-process validation. The Role Perform finished product QC release testing (balances, pH meter, UV, Karl Fischer, FT-IR, TLC, dissolution) Conduct stability and process validation testing following test plans Use LIMS... ",,
Business Analyst,FDM Group,Leeds,,,23/10/2025,Have you had a career break of 12+ months? Do you have 5+ years of commercial experience in industry? Are you ready to re-join the workforce with training and career coaching included? Then you’ll want to hear about the UK’s leading Returners Programme and how it helps 100+ returners restart their careers every year. Our Returners Programme is specifically designed to support professionals returning to work after a career break. Having restarted... ,,
Associate Director - Data Analytics,Intuita,Newbury,80000.0,100000.0,16/04/2026,"We're on the hunt for an Associate Director with a passion for driving successful delivery of complex data projects. If you have a clear and unbridled passion for data and tech, for getting the job done and thrive on tackling exciting challenges in the world of data and technology, then this may well be the role for you! The TeamWe're Intuita - a fast-growing consultancy that's making waves in both the consultancy and technology space. With our ... ",,
Business Analyst - Tech,Davies Group,Home Meadow,,,09/04/2026,"As a Business Analyst at Davies Technology Solutions (DTS), you will engage with both internal and external stakeholders to gather and document requirements, processes, risks, and objectives to support the successful delivery of software products. You will also provide effort estimates and sizing for project scope. Reporting to the Principal Business Analyst, you will work closely with cross-functional teams to ensure alignment and achievement o... ",,
Digital Web Analyst,BUZZ Bingo,NG71TN,50000.0,50000.0,25/03/2026,"Digital Web Analyst – Join Us and Shape the Future of Our Digital Experience Salary: 50,000.00 per Annum Position Type: Full-time, Permanent, 35 hours per week Are you the kind of person who can’t help but dig deeper into data,&nbsp;who spots patterns others miss and gets genuinely excited about understanding why users behave the way they do? If turning numbers into stories, insight into action, and journeys into beautifully optimised experience... ",,
BI Business Analyst,Loom Talent Limited,Lutterworth,34000.0,36000.0,17/04/2026,"About the job Role: BI Business Analyst - 3PL Contract Logistics . Company: Leading Global 3PL Contract Logistics Provider. Location: Lutterworth, Leicestershire (LE17). Salary &amp; Benefits: 34,000 - 36,000 + Holidays &amp; Package. Shift Pattern: The role works to a Daytime Shift Patter, The Company Loom Talent are proud to have been exclusively appointed to lead the hiring strategy for a new site start up in Lutterworth. Our client, a leadin... ",,
Financial Modelling Analyst,National Trust,SN22NA,36621.0,36621.0,20/04/2026,"Summary We’re looking for a&nbsp;Financial&nbsp;Modelling&nbsp;Analyst&nbsp;to join us. As a Financial Modelling Analyst, you’ll&nbsp;provide the technical modelling expertise that underpins&nbsp;our&nbsp;long-range financial planning and scenario analysis. You’ll&nbsp;design, develop and govern robust financial models that support strategic decision-making and assess financial resilience under different scenarios.&nbsp; As a subject matter expe... ",,
Data Engineer,AJ Bell,Manchester,,,25/11/2025,"Job Description This is an exciting opportunity to join a dynamic and experienced Data Engineering team at AJ Bell, contributing significantly to the development of our state-of-the-art data platform using cutting-edge technology. As a Data Engineer, you will play a pivotal role in designing, building, maintaining, and evolving our data infrastructure, ensuring it meets the growing needs of our business. You'll engage in end-to-end development, ... ",,
Senior Reward Analyst,VERTICAL AEROSPACE GROUP LTD,Bristol,,,25/03/2026,"Our Mission At Vertical Aerospace, we are pioneering the way for electric aviation. The Valo, our eVTOL (electric, vertical, take-off and landing), 'zero emissions' aircraft will set a new safety standard for how we will navigate the sky. We won't realise our mission following the same legacy processes and traditions our predecessors followed, instead, we want to 'redefine' aerospace best practices. We are growing quickly from a prototype busine... ",,
Service Desk Analyst,EXL Service (UK) Ltd,M220RR,,,31/03/2026,"The Service Desk Analyst plays a critical role in delivering high-quality IT support to service users, internal stakeholders, and suppliers. This position requires expertise in managing ticketing systems such as Remedy and ServiceNow , troubleshooting technical issues, and ensuring effective incident resolution—either directly or through supplier coordination. The ideal candidate will have strong organisational skills, a deep understanding of Sm... ",,
Business Intelligence Analyst,Transact,London,,,22/04/2026,"We are currently recruiting for a Business Intelligence Analyst to join our BI team. This role will provide business intelligence to support reporting and decision making. You will be responsible for considering how best to communicate information drawn from data to both internal and external stakeholders. Responsibilities include: Architect, design and develop end to end Power BI business intelligence solutions. Gather requirements for new repo... ",,
Legal Solutions Analyst,Fieldfisher ,BT39DE,,,15/04/2026,"Fieldfisher Condor is the legal solutions division of Fieldfisher LLP, designed to deliver high-quality, scalable and cost-effective services that complement and enhance traditional legal advice. We operate across four core verticals: flexible resourcing, document review, legal technology and contract negotiation, each built to support our clients with practical, efficient and expertly delivered solutions. What sets us apart is our unique positi... ",,
